SELLER INFO,SELLER TYPE,BHK,PRICE,Area in sqft,LOCATION,STATUS,PRICE PER SQ.FT
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 59 L,1705 ,Nizampet,Ready to moveConstruction Status,"3,460 / sq ft"
seller,OWNER,3 , 59 L,1705 ,Nizampet,Ready to moveConstruction Status,"3,460 / sq ft"
seller,OWNER,2 , 45 L,1136 ,Shadnagar,Ready to moveConstruction Status,"3,961 / sq ft"
seller,OWNER,3 , 59 L,1705 ,Nizampet,Ready to moveConstruction Status,"3,460 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 45 L,935 ,Amberpet,Ready to moveConstruction Status,"4,812 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 59 L,1705 ,Nizampet,Ready to moveConstruction Status,"3,460 / sq ft"
seller,OWNER,3 , 59 L,1705 ,Nizampet,Ready to moveConstruction Status,"3,460 / sq ft"
seller,OWNER,2 , 45 L,1136 ,Shadnagar,Ready to moveConstruction Status,"3,961 / sq ft"
seller,OWNER,3 , 59 L,1705 ,Nizampet,Ready to moveConstruction Status,"3,460 / sq ft"
seller,OWNER,2 , 34 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,269 / sq ft"
seller,OWNER,6 , 6 Cr,5740 ,Nallagandla Gachibowli,Ready to moveConstruction Status,"10,452 / sq ft"
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,"3,584 / sq ft"
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,"3,584 / sq ft"
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,"3,584 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,"3,584 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 34 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,269 / sq ft"
seller,OWNER,Residential Plot, 11.26 L,1314 ,Shadnagar,ResaleNew/Resale,856 / sq ft
seller,OWNER,Residential Plot, 11.26 L,1314 ,Shadnagar,ResaleNew/Resale,856 / sq ft
seller,OWNER,Residential Plot, 11.26 L,1314 ,Shadnagar,ResaleNew/Resale,856 / sq ft
seller,OWNER,Residential Plot, 11.26 L,1314 ,Shadnagar,ResaleNew/Resale,856 / sq ft
seller,OWNER,Residential Plot, 11.26 L,1314 ,Shadnagar,ResaleNew/Resale,856 / sq ft
seller,OWNER,Residential Plot, 11.26 L,1314 ,Shadnagar,ResaleNew/Resale,856 / sq ft
seller,OWNER,Residential Plot, 11.26 L,1314 ,Shadnagar,ResaleNew/Resale,856 / sq ft
seller,OWNER,Residential Plot, 11.68 L,1314 ,Shadnagar,ResaleNew/Resale,888 / sq ft
seller,OWNER,2 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,3 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,3 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,3 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,3 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,3 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 35.7 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,2 , 35.7 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,2 , 35.7 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 26 L,1500 ,muthangi,Under ConstructionConstruction Status,"1,733 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,2 , 35.7 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,2 , 35.7 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 35.7 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 35.7 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,3 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,3 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,3 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,3 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,3 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,2 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,3 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 26 L,1530 ,muthangi,Under ConstructionConstruction Status,"1,699 / sq ft"
seller,OWNER,2 , 26 L,1500 ,muthangi,Under ConstructionConstruction Status,"1,733 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,2 , 26 L,1500 ,muthangi,Under ConstructionConstruction Status,"1,733 / sq ft"
seller,OWNER,2 , 26 L,1500 ,muthangi,Under ConstructionConstruction Status,"1,733 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 35.7 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,2 , 35.7 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,2 , 26 L,1500 ,muthangi,Under ConstructionConstruction Status,"1,733 / sq ft"
seller,OWNER,2 , 26 L,1500 ,muthangi,Under ConstructionConstruction Status,"1,733 / sq ft"
seller,OWNER,2 , 26 L,1500 ,muthangi,Under ConstructionConstruction Status,"1,733 / sq ft"
seller,OWNER,2 , 26 L,1500 ,muthangi,Under ConstructionConstruction Status,"1,733 / sq ft"
seller,OWNER,2 , 26 L,1500 ,muthangi,Under ConstructionConstruction Status,"1,733 / sq ft"
seller,OWNER,2 , 26 L,1530 ,muthangi,Under ConstructionConstruction Status,"1,699 / sq ft"
seller,OWNER,2 , 26 L,1530 ,muthangi,Under ConstructionConstruction Status,"1,699 / sq ft"
seller,OWNER,2 , 35.7 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 26 L,1530 ,muthangi,Under ConstructionConstruction Status,"1,699 / sq ft"
seller,OWNER,2 , 35.7 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 35.7 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 35.7 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 26 L,1530 ,muthangi,Under ConstructionConstruction Status,"1,699 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,2 , 26 L,1160 ,muthangi,Under ConstructionConstruction Status,"2,241 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,2 , 26 L,1530 ,muthangi,Under ConstructionConstruction Status,"1,699 / sq ft"
seller,OWNER,2 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 26 L,1530 ,muthangi,Under ConstructionConstruction Status,"1,699 / sq ft"
seller,OWNER,3 , 36 L,1570 ,muthangi,Under ConstructionConstruction Status,"2,292 / sq ft"
seller,OWNER,2 , 26 L,1530 ,muthangi,Under ConstructionConstruction Status,"1,699 / sq ft"
